Sample.Label,species,object_id,distance_cat,Urban,Coniferous,Broadleaf,MountainHeathBog,Freshwater
11,A,14,25,0,0,0,58,0
13,A,21,15,0,0,0,0,9
17,A,29,5,2,0,0,0,0
17,A,31,15,2,0,0,0,0
17,A,32,15,2,0,0,0,0
17,A,36,5,2,0,0,0,0
24,A,47,35,0,70,12,3,0
47,A,68,35,0,0,0,0,1
64,A,83,15,1,0,4,0,0
83,A,94,25,0,0,0,7,2
88,A,100,25,0,26,4,5,0
118,A,128,5,0,28,2,63,0
126,A,136,5,0,0,0,82,3
129,A,137,35,7,0,1,0,0
153,A,172,5,1,0,17,0,0
155,A,176,25,1,0,3,0,0
165,A,202,15,0,12,31,0,0
168,A,208,25,0,81,6,0,0
176,A,220,5,0,0,0,35,0
178,A,225,15,1,0,25,0,5
182,A,232,5,0,97,0,2,0
188,A,247,15,0,70,0,0,0
188,A,251,25,0,70,0,0,0
192,A,259,45,0,0,19,0,0
193,A,263,25,1,0,2,0,0
194,A,265,25,4,0,32,0,0
194,A,267,15,4,0,32,0,0
194,A,270,35,4,0,32,0,0
200,A,280,5,38,0,32,0,0
200,A,281,5,38,0,32,0,0
222,A,312,15,0,13,2,32,8
222,A,313,5,0,13,2,32,8
227,A,323,5,0,99,0,0,0
235,A,341,25,1,0,0,0,0
236,A,344,25,23,0,1,0,0
237,A,347,5,0,54,11,0,0
240,A,352,15,0,2,22,6,2
243,A,359,15,0,0,3,0,0
253,A,367,15,1,0,4,0,0
256,A,376,15,0,6,0,1,0
266,A,390,15,1,0,12,0,0
266,A,393,5,1,0,12,0,0
267,A,394,15,0,0,0,13,0
268,A,397,15,5,0,40,10,0
268,A,398,5,5,0,40,10,0
268,A,399,55,5,0,40,10,0
275,A,411,15,3,0,19,1,0
278,A,416,15,0,3,7,0,4
279,A,418,15,0,0,0,37,0
281,A,421,25,1,0,8,0,0
281,A,424,5,1,0,8,0,0
282,A,425,25,57,0,5,0,0
290,A,436,5,0,15,2,0,0
299,A,442,15,0,1,20,0,46
300,A,443,15,0,0,1,95,0
312,A,452,15,0,0,1,11,0
312,A,454,5,0,0,1,11,0
319,A,461,25,0,0,0,2,0
319,A,463,15,0,0,0,2,0
336,A,479,5,0,0,0,10,0
346,A,490,25,1,2,15,0,0
355,A,500,15,0,0,0,100,0
361,A,510,35,2,0,11,0,0
377,A,534,25,0,0,0,0,0
387,A,548,5,0,0,0,8,0
391,A,558,45,6,0,5,0,0
391,A,559,5,6,0,5,0,0
392,A,563,15,2,0,39,0,0
398,A,574,15,0,64,16,0,0
399,A,576,25,0,0,0,0,0
408,A,596,15,0,0,0,72,0
410,A,600,15,4,29,41,0,4
411,A,605,15,2,0,6,0,0
412,A,606,15,0,0,1,0,0
418,A,613,15,0,0,0,89,0
423,A,617,15,0,7,0,0,0
425,A,627,15,4,0,2,0,0
426,A,628,15,0,0,16,35,0
427,A,629,15,0,34,6,3,7
428,A,632,55,4,6,20,1,0
430,A,635,25,0,100,0,0,0
436,A,643,25,1,55,11,3,0
436,A,644,15,1,55,11,3,0
440,A,650,5,0,0,0,99,0
444,A,655,5,0,7,18,0,0
447,A,660,35,0,0,0,0,0
447,A,661,15,0,0,0,0,0
452,A,667,35,0,0,75,0,6
452,A,668,35,0,0,75,0,6
452,A,671,15,0,0,75,0,6
453,A,672,5,1,0,14,0,0
461,A,687,15,0,0,0,0,0
462,A,689,35,3,0,8,0,0
466,A,697,15,8,0,25,0,0
470,A,703,5,0,0,0,14,0
474,A,705,25,0,2,0,26,5
479,A,713,5,2,0,6,0,0
480,A,715,15,0,0,12,0,0
480,A,716,5,0,0,12,0,0
483,A,721,25,1,2,9,5,0
490,A,734,35,0,0,6,0,0
501,A,748,25,0,0,0,62,0
502,A,749,25,3,0,3,0,0
504,A,754,15,1,3,7,0,0
508,A,760,5,0,38,0,45,1
515,A,770,5,0,16,0,3,0
515,A,771,25,0,16,0,3,0
516,A,775,65,41,0,35,0,0
525,A,792,25,0,59,0,0,0
529,A,800,5,0,75,11,0,2
530,A,805,15,0,0,8,2,0
534,A,814,15,65,0,2,0,0
538,A,819,55,73,0,0,0,0
538,A,821,5,73,0,0,0,0
541,A,828,5,50,0,23,0,0
545,A,838,55,19,0,18,0,0
547,A,844,5,5,0,10,0,0
548,A,850,15,1,0,22,0,0
550,A,856,25,11,0,0,0,0
555,A,868,15,6,0,11,1,0
555,A,871,15,6,0,11,1,0
559,A,882,45,91,0,6,0,0
559,A,886,5,91,0,6,0,0
559,A,887,45,91,0,6,0,0
560,A,889,5,39,0,12,0,0
564,A,894,35,86,0,1,0,0
564,A,897,45,86,0,1,0,0
564,A,899,45,86,0,1,0,0
564,A,900,15,86,0,1,0,0
566,A,904,65,82,0,0,0,0
566,A,905,35,82,0,0,0,0
569,A,910,25,2,0,28,0,0
571,A,921,35,0,0,15,12,2
572,A,924,15,1,6,0,19,0
576,A,938,75,95,0,1,0,0
576,A,939,15,95,0,1,0,0
591,A,963,65,69,0,19,0,0
593,A,965,15,0,0,11,0,0
595,A,970,15,0,4,0,9,0
598,A,979,15,17,0,3,1,8
604,A,991,25,1,0,0,3,0
613,A,1009,35,0,0,15,3,0
623,A,1033,5,2,1,3,0,0
626,A,1038,15,1,0,0,0,0
628,A,1042,15,0,0,0,0,0
630,A,1043,25,0,0,0,3,0
631,A,1050,25,0,1,0,1,0
632,A,1057,15,3,0,22,0,0
633,A,1058,35,0,75,0,25,0
634,A,1064,35,0,4,1,4,0
638,A,1073,25,15,0,13,3,0
639,A,1078,15,65,0,3,0,0
