species,x,y,Urban,Coniferous,Broadleaf,MountainHeathBog,Freshwater,visit,rain,wind,obs
A,464500,1214500,0,0,0,28,0,1,0,2,1
A,464500,1214500,0,0,0,28,0,2,2,2,1
A,464500,1214500,0,0,0,28,0,3,4,1,1
A,449500,1202500,0,0,0,100,0,1,0,1,0
A,449500,1202500,0,0,0,100,0,2,1,2,0
A,449500,1202500,0,0,0,100,0,3,4,1,0
A,449500,1202500,0,0,0,100,0,4,4,3,0
A,448500,1186500,0,0,0,100,0,1,2,2,0
A,448500,1186500,0,0,0,100,0,2,3,1,0
A,448500,1186500,0,0,0,100,0,3,4,1,0
A,448500,1186500,0,0,0,100,0,4,2,2,0
A,450500,1165500,0,0,0,59,3,1,1,1,0
A,450500,1165500,0,0,0,59,3,2,1,1,0
A,450500,1165500,0,0,0,59,3,3,16,1,0
A,450500,1165500,0,0,0,59,3,4,2,1,0
A,441500,1160500,0,0,0,97,0,1,82,1,0
A,441500,1160500,0,0,0,97,0,2,4,2,0
A,441500,1160500,0,0,0,97,0,3,0,1,0
A,441500,1160500,0,0,0,97,0,4,2,1,0
A,424500,1153500,0,0,0,76,6,1,4,1,1
A,424500,1153500,0,0,0,76,6,3,0,1,0
A,424500,1153500,0,0,0,76,6,4,18,1,0
A,432500,1150500,0,0,0,75,1,2,9,1,0
A,432500,1150500,0,0,0,75,1,3,0,2,1
A,432500,1150500,0,0,0,75,1,4,8,1,0
A,438500,1122500,1,0,0,45,0,1,7,3,1
A,438500,1122500,1,0,0,45,0,2,0,2,0
A,438500,1122500,1,0,0,45,0,3,2,1,1
A,438500,1122500,1,0,0,45,0,4,5,1,1
A,366500,1044500,0,0,0,0,0,2,2,2,0
A,366500,1044500,0,0,0,0,0,3,1,1,0
A,366500,1044500,0,0,0,0,0,4,0,1,0
A,367500,1041500,1,0,0,0,0,1,2,2,0
A,367500,1041500,1,0,0,0,0,2,0,2,0
A,367500,1041500,1,0,0,0,0,3,4,1,0
A,367500,1041500,1,0,0,0,0,4,1,1,0
A,353500,1033500,1,0,0,24,0,1,10,3,0
A,353500,1033500,1,0,0,24,0,2,3,2,0
A,353500,1033500,1,0,0,24,0,3,6,1,0
A,353500,1033500,1,0,0,24,0,4,3,2,0
A,322500,1017500,0,0,0,0,0,1,70,1,0
A,322500,1017500,0,0,0,0,0,2,0,1,0
A,322500,1017500,0,0,0,0,0,3,14,1,0
A,322500,1017500,0,0,0,0,0,4,1,1,0
A,334500,1016500,0,0,0,34,0,1,0,2,1
A,334500,1016500,0,0,0,34,0,2,5,2,0
A,334500,1016500,0,0,0,34,0,3,4,1,1
A,334500,1016500,0,0,0,34,0,4,9,1,1
A,323500,1011500,0,0,0,14,0,1,25,1,0
A,323500,1011500,0,0,0,14,0,2,1,2,0
A,323500,1011500,0,0,0,14,0,3,1,1,0
A,323500,1011500,0,0,0,14,0,4,3,2,0
A,324500,1011500,0,0,0,4,0,1,1,1,0
A,324500,1011500,0,0,0,4,0,3,3,2,0
A,324500,1011500,0,0,0,4,0,4,0,2,0
A,343500,994500,0,0,0,0,0,1,3,1,0
A,343500,994500,0,0,0,0,0,2,12,1,0
A,343500,994500,0,0,0,0,0,3,27,1,0
A,343500,994500,0,0,0,0,0,4,0,2,0
A,331500,990500,5,0,0,0,0,2,0,2,1
A,331500,990500,5,0,0,0,0,3,1,2,1
A,331500,990500,5,0,0,0,0,4,3,1,0
A,225500,973500,0,0,0,80,0,1,6,2,0
A,225500,973500,0,0,0,80,0,2,2,3,0
A,225500,973500,0,0,0,80,0,4,19,1,0
A,329500,970500,0,34,0,4,0,1,17,1,0
A,329500,970500,0,34,0,4,0,2,3,2,0
A,329500,970500,0,34,0,4,0,3,1,2,0
A,329500,970500,0,34,0,4,0,4,3,2,0
A,302500,968500,0,0,0,1,0,2,5,3,0
A,302500,968500,0,0,0,1,0,3,3,1,0
A,302500,968500,0,0,0,1,0,4,8,2,1
A,225500,967500,0,0,0,100,0,1,7,1,1
A,225500,967500,0,0,0,100,0,2,5,2,1
A,225500,967500,0,0,0,100,0,3,1,1,1
A,225500,967500,0,0,0,100,0,4,10,1,0
A,226500,966500,0,0,0,100,0,2,1,1,0
A,226500,966500,0,0,0,100,0,4,5,2,0
